Timestamp,What is your age group?  ,What is your gender? ,What is your highest level of educational qualification? ,What is your approximate monthly household income? ,Are you aware of sustainable packaging? ,I am aware of environmentally friendly packaging options. ,I prefer environmentally friendly packaging materials.,Awareness of environmentally friendly packaging influences my purchase decisions. ,I became aware of environmentally friendly packaging through the media.,I became aware of environmentally friendly packaging through product design. ,I prefer environmentally friendly packaging because I care about environmental sustainability. ,The likelihood that a product would be reliable due to its design and quality is: ,"The craftsmanship of a product, reflecting its attention to detail and branding, is:","Considering sustainable packaging, a product appears to have:","The dependability of a product, taking into account its brand reputation, is: ",Sustainable packaging suggests that a product is durable:,A brand's trustworthiness can influence my perception of a product's quality. ,"A brand's claims about its products, including sustainable packaging, should be believable. ","A trustworthy brand should deliver on its promises, particularly regarding sustainability initiatives. ",A reliable brand demonstrates the ability to back up its claims about sustainable practices and quality. ,"Over time, consistent experiences with a brand lead me to expect it to fulfill its promises regarding product quality and sustainability. ",A competent and reliable brand gives confidence to pay a premium for its products due to sustainable packaging. ,I agree to pay more for products with sustainable packaging. ,"I am proud to have products with sustainable packaging in my home, even though they are more expensive than products with conventional packaging. ",I would be willing to pay more to buy products with packaging that is less harmful to the environment. 
1-9-2025 12:03:11,35–44,Female,Doctorate,"More than ?1,00,000",Yes,4,4,4,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1-9-2025 20:39:24,18–24,Male,Undergraduate degree,"More than ?1,00,000",Yes,5,4,3,5,4,4,5,5,5,5,2,5,4,5,5,3,5,5,5,5
1-9-2025 20:48:45,Under 18,Female,High school or less,"?75,000–?1,00,000",No,,,,,,,,,,,,,,,,,,,,
1-9-2025 22:55:44,18–24,Male,High school or less,"More than ?1,00,000",Yes,5,5,3,3,5,5,3,3,5,5,3,3,3,3,3,3,3,2,1,4
1-10-2025 11:40:02,18–24,Male,Undergraduate degree,"Less than ?25,000",Yes,3,5,3,2,5,5,4,4,4,4,4,4,4,4,4,4,3,5,4,3
1-11-2025 8:53:20,18–24,Male,Undergraduate degree,"?25,000–?50,000",Yes,5,4,3,2,4,3,4,5,4,4,2,4,4,3,3,4,3,3,3,3
1-11-2025 11:59:11,18–24,Male,Undergraduate degree,"Less than ?25,000",Yes,4,4,3,4,3,4,5,5,4,4,3,4,3,4,4,3,4,3,3,4
1-11-2025 13:44:33,18–24,Male,Undergraduate degree,"More than ?1,00,000",Yes,5,5,3,4,5,5,5,3,3,4,2,5,3,5,5,5,5,3,4,4
1-11-2025 16:23:24,18–24,Male,Diploma,"More than ?1,00,000",Yes,5,3,1,4,2,2,5,4,3,4,4,4,5,5,5,4,5,4,4,4
1-11-2025 16:33:57,Under 18,Female,High school or less,"Less than ?25,000",Yes,5,5,4,3,5,5,4,4,5,3,4,5,3,5,5,4,5,5,5,5
1-11-2025 17:19:24,18–24,Female,Undergraduate degree,"More than ?1,00,000",Yes,5,4,4,3,4,4,4,4,4,4,3,5,4,5,4,4,5,5,5,5
1-11-2025 19:47:50,18–24,Female,Postgraduate degree,"More than ?1,00,000",Yes,4,4,1,4,2,5,2,4,2,5,5,5,2,5,4,4,4,3,4,4
1-11-2025 20:11:05,18–24,Male,Undergraduate degree,"More than ?1,00,000",Yes,4,5,2,4,2,4,4,5,5,4,4,5,4,4,4,4,4,5,5,5
1-11-2025 20:47:13,25–34,Female,Undergraduate degree,"?75,000–?1,00,000",Yes,5,5,5,5,3,5,4,4,4,3,4,4,4,5,5,4,5,2,3,3
1-11-2025 20:50:22,Under 18,Male,High school or less,"?50,000–?75,000",Yes,5,3,3,4,2,4,5,5,2,3,3,4,4,4,4,3,3,4,4,4
1-11-2025 21:07:50,25–34,Female,Postgraduate degree,"?75,000–?1,00,000",Yes,5,5,5,4,4,5,4,5,4,5,5,5,4,5,5,5,5,4,5,4
1-11-2025 22:38:56,25–34,Male,Undergraduate degree,"More than ?1,00,000",Yes,5,5,4,5,4,5,4,3,4,4,4,5,4,5,5,4,5,5,5,5
1-11-2025 22:42:38,25–34,Male,Undergraduate degree,"More than ?1,00,000",Yes,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5
1-11-2025 22:43:34,18–24,Female,Undergraduate degree,"?75,000–?1,00,000",Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1-11-2025 23:14:57,Under 18,Male,High school or less,"More than ?1,00,000",No,,,,,,,,,,,,,,,,,,,,
1-12-2025 0:26:54,Under 18,Male,High school or less,"More than ?1,00,000",No,,,,,,,,,,,,,,,,,,,,
1-12-2025 3:53:46,18–24,Female,Undergraduate degree,"?25,000–?50,000",Yes,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1-12-2025 3:54:29,Under 18,Male,High school or less,"?25,000–?50,000",Yes,2,3,1,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5
1-12-2025 3:55:42,55 and above,Male,Doctorate,"More than ?1,00,000",Yes,4,3,4,4,4,4,4,4,4,5,5,5,4,3,5,4,5,3,4,5
1-12-2025 3:56:38,35–44,Female,Postgraduate degree,"?75,000–?1,00,000",Yes,3,4,2,5,5,5,5,3,5,5,5,4,2,4,2,2,3,3,4,2
1-12-2025 6:54:09,18–24,Male,Undergraduate degree,"More than ?1,00,000",Yes,4,3,2,2,4,1,2,4,4,5,2,5,5,5,5,5,4,2,2,3
1-12-2025 9:36:02,25–34,Male,Undergraduate degree,"More than ?1,00,000",Yes,5,4,2,2,2,5,4,4,4,3,2,4,4,4,4,4,4,3,2,4
1-13-2025 10:44:34,18–24,Male,Undergraduate degree,"More than ?1,00,000",Yes,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4
1-13-2025 16:14:57,18–24,Female,Undergraduate degree,"More than ?1,00,000",Yes,5,5,4,3,3,4,4,3,3,3,3,3,3,3,3,4,2,4,4,4
1-15-2025 8:49:03,45–54,Female,Doctorate,"?50,000–?75,000",Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1-15-2025 8:52:15,18–24,Male,Undergraduate degree,"?75,000–?1,00,000",Yes,3,3,3,3,4,4,3,3,4,2,3,3,4,2,3,3,4,3,3,4
1-15-2025 8:52:15,25–34,Female,Diploma,"?75,000–?1,00,000",Yes,3,3,3,3,4,4,3,3,3,2,4,3,3,4,3,3,3,3,3,3
1-15-2025 8:53:54,18–24,Male,Postgraduate degree,"?75,000–?1,00,000",Yes,4,3,2,4,4,4,2,1,4,3,3,2,5,5,5,4,4,3,4,4
1-15-2025 8:53:55,18–24,Female,Postgraduate degree,"?75,000–?1,00,000",Yes,2,3,4,5,3,3,3,5,1,3,3,3,4,3,1,5,5,2,3,5
1-15-2025 8:54:45,Under 18,Male,High school or less,"?25,000–?50,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 8:55:26,Under 18,Male,High school or less,"?25,000–?50,000",Yes,3,3,4,4,1,3,3,4,3,3,2,3,4,4,5,1,4,4,4,4
1-15-2025 8:56:46,25–34,Female,Postgraduate degree,"More than ?1,00,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 9:01:10,55 and above,Male,Doctorate,"More than ?1,00,000",Yes,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,2,3,5,4,4
1-15-2025 9:01:10,Under 18,Female,High school or less,"Less than ?25,000",Yes,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
1-15-2025 9:02:53,18–24,Male,Undergraduate degree,"?75,000–?1,00,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 9:06:25,18–24,Male,Undergraduate degree,"?75,000–?1,00,000",Yes,5,4,3,4,4,4,4,4,4,4,4,4,5,4,5,4,4,5,5,3
1-15-2025 9:14:34,18–24,Female,Undergraduate degree,"More than ?1,00,000",Yes,5,5,5,3,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
1-15-2025 9:22:17,18–24,Female,Undergraduate degree,"More than ?1,00,000",Yes,4,4,3,4,4,4,4,4,4,3,3,4,5,5,5,5,3,2,4,3
1-15-2025 9:25:08,18–24,Male,Postgraduate degree,"More than ?1,00,000",Yes,5,5,4,3,3,5,4,5,4,5,5,5,4,5,5,4,4,4,4,5
1-15-2025 9:26:04,18–24,Male,Postgraduate degree,"More than ?1,00,000",Yes,5,5,4,5,5,4,5,5,4,5,5,5,5,4,5,5,5,4,5,5
1-15-2025 9:32:56,25–34,Male,Undergraduate degree,"?50,000–?75,000",Yes,4,4,4,4,4,4,4,3,3,2,3,4,3,3,5,5,5,5,5,5
1-15-2025 9:32:58,18–24,Male,Undergraduate degree,"?50,000–?75,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 9:33:48,25–34,Female,Undergraduate degree,"?50,000–?75,000",Yes,4,3,3,4,4,5,4,5,4,5,5,5,4,5,4,4,5,5,4,5
1-15-2025 9:34:03,18–24,Male,Undergraduate degree,"More than ?1,00,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 9:34:05,Under 18,Male,High school or less,"Less than ?25,000",Yes,3,3,3,3,4,5,1,3,3,4,5,3,3,3,3,4,5,5,5,5
1-15-2025 9:34:51,25–34,Male,Doctorate,"More than ?1,00,000",Yes,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5
1-15-2025 9:36:23,45–54,Male,Postgraduate degree,"?50,000–?75,000",Yes,5,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
1-15-2025 9:36:49,35–44,Male,Postgraduate degree,"More than ?1,00,000",Yes,4,5,4,5,5,4,4,5,4,5,5,5,4,4,4,5,4,5,4,5
1-15-2025 9:37:14,18–24,Male,Postgraduate degree,"?75,000–?1,00,000",Yes,5,3,4,3,5,3,5,5,5,4,3,5,3,4,5,3,3,4,4,4
1-15-2025 9:37:46,Under 18,Male,High school or less,"?25,000–?50,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 9:38:40,18–24,Female,High school or less,"More than ?1,00,000",Yes,3,3,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3
1-15-2025 9:39:01,18–24,Male,Undergraduate degree,"?50,000–?75,000",Yes,3,3,4,5,4,4,4,4,5,4,1,5,5,5,2,4,4,4,4,4
1-15-2025 9:39:10,25–34,Male,Undergraduate degree,"?50,000–?75,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 9:39:32,18–24,Male,Undergraduate degree,"?50,000–?75,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 9:39:47,18–24,Male,Diploma,"?75,000–?1,00,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 9:40:57,18–24,Male,Undergraduate degree,"?50,000–?75,000",Yes,3,4,4,4,4,5,2,2,2,2,2,3,3,3,3,3,3,4,3,3
1-15-2025 9:41:02,18–24,Male,Diploma,"?50,000–?75,000",Yes,3,3,3,3,3,3,3,4,4,5,5,4,3,3,4,5,5,4,5,4
1-15-2025 9:42:02,Under 18,Female,High school or less,"Less than ?25,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 9:42:32,25–34,Female,Diploma,"More than ?1,00,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 9:43:04,25–34,Female,Undergraduate degree,"?75,000–?1,00,000",Yes,2,1,2,3,1,1,2,1,1,2,1,1,2,3,4,5,3,1,3,3
1-15-2025 9:44:15,25–34,Male,Postgraduate degree,"?75,000–?1,00,000",Yes,3,4,3,3,3,3,5,5,5,5,4,4,3,2,3,2,3,5,5,5
1-15-2025 9:44:41,25–34,Male,Undergraduate degree,"?75,000–?1,00,000",Yes,3,5,5,4,4,4,4,5,3,5,5,4,4,5,4,5,5,5,5,4
1-15-2025 9:45:33,Under 18,Female,High school or less,"?75,000–?1,00,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 9:46:00,18–24,Male,High school or less,"More than ?1,00,000",Yes,5,5,4,1,3,4,3,3,4,3,1,3,2,5,5,3,3,4,3,4
1-15-2025 9:48:19,25–34,Male,Undergraduate degree,"?75,000–?1,00,000",Yes,4,5,2,3,4,5,4,4,5,5,5,4,5,3,5,5,4,5,5,4
1-15-2025 9:48:26,18–24,Male,Undergraduate degree,"Less than ?25,000",Yes,5,5,5,5,5,5,3,3,3,3,3,3,4,4,4,4,4,5,5,5
1-15-2025 9:49:35,25–34,Female,Postgraduate degree,"?50,000–?75,000",Yes,3,3,3,3,4,5,5,5,5,5,5,4,4,4,4,5,5,4,4,3
1-15-2025 9:49:53,35–44,Male,Postgraduate degree,"?75,000–?1,00,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 9:50:54,25–34,Male,Postgraduate degree,"?75,000–?1,00,000",Yes,3,3,2,4,5,5,4,4,4,2,4,3,3,3,4,3,2,5,5,4
1-15-2025 9:52:19,18–24,Male,Postgraduate degree,"?75,000–?1,00,000",Yes,4,5,4,3,4,4,4,4,4,5,5,3,4,4,4,5,5,4,3,2
1-15-2025 9:53:07,18–24,Male,Undergraduate degree,"?50,000–?75,000",Yes,5,4,3,4,4,4,5,3,4,4,5,5,5,5,4,5,5,2,3,2
